type,make,model,trim,year,quarter_mile_time_s,source
car,Tesla,Model S,Plaid,2023,9.23,MotorTrend
car,Tesla,Model S,Long Range,2022,11.78,Car and Driver
car,Tesla,Model 3,Performance,2022,11.60,Car and Driver
car,Tesla,Model 3,Standard Range Plus,2021,13.28,MotorTrend
car,Tesla,Model X,Plaid,2023,9.90,MotorTrend
car,Tesla,Model Y,Performance,2023,12.00,Car and Driver
car,Porsche,911,GT3 RS,2023,10.90,Road and Track
car,Porsche,911,Turbo S,2022,10.10,Car and Driver
car,Porsche,911,Carrera S,2022,11.30,MotorTrend
car,Porsche,Taycan,Turbo S,2022,10.50,Car and Driver
car,Porsche,718,Cayman GT4,2022,12.10,Road and Track
car,BMW,M3,Competition,2022,11.60,Car and Driver
car,BMW,M4,Competition xDrive,2023,11.20,MotorTrend
car,BMW,M5,CS,2022,10.60,Car and Driver
car,BMW,M8,Competition,2021,11.10,Car and Driver
car,BMW,i4,M50,2023,12.10,MotorTrend
car,Mercedes-Benz,AMG GT,Black Series,2021,10.30,Road and Track
car,Mercedes-Benz,C63,AMG S,2021,11.40,Car and Driver
car,Mercedes-Benz,E63,AMG S,2021,10.90,Car and Driver
car,Mercedes-Benz,AMG GT,63 S,2022,11.00,MotorTrend
car,Mercedes-Benz,EQS,AMG,2023,10.80,Car and Driver
car,Audi,RS e-tron GT,,2022,10.70,Car and Driver
car,Audi,RS7,,2021,11.20,MotorTrend
car,Audi,RS6,Avant,2022,11.30,Car and Driver
car,Audi,R8,V10 Performance,2022,10.80,Road and Track
car,Audi,RS3,,2023,11.70,MotorTrend
car,Ford,Mustang,Shelby GT500,2022,10.60,MotorTrend
car,Ford,Mustang,GT,2021,12.40,Car and Driver
car,Ford,Mustang,Mach-E GT,2022,12.80,Car and Driver
car,Ford,Mustang,EcoBoost,2022,14.10,MotorTrend
car,Ford,GT,,2019,10.80,Road and Track
car,Ford,F-150,Raptor R,2023,12.90,Car and Driver
car,Chevrolet,Corvette,Z06,2023,10.60,Car and Driver
car,Chevrolet,Corvette,Stingray,2022,11.20,MotorTrend
car,Chevrolet,Camaro,ZL1,2022,11.30,Car and Driver
car,Chevrolet,Camaro,SS,2020,12.50,MotorTrend
car,Chevrolet,Camaro,LT1,2022,13.20,MotorTrend
car,Dodge,Challenger,SRT Hellcat Redeye,2022,10.80,Car and Driver
car,Dodge,Challenger,SRT Hellcat,2021,11.40,MotorTrend
car,Dodge,Challenger,R/T Scat Pack,2022,12.20,Car and Driver
car,Dodge,Charger,SRT Hellcat Redeye,2022,10.90,MotorTrend
car,Dodge,Charger,R/T Scat Pack,2021,12.40,Car and Driver
car,Dodge,Viper,ACR,2017,11.10,Road and Track
car,Lamborghini,Huracan,STO,2022,10.40,MotorTrend
car,Lamborghini,Huracan,Evo,2021,10.60,Road and Track
car,Lamborghini,Aventador,SVJ,2020,10.00,Car and Driver
car,Lamborghini,Urus,,2022,11.30,Car and Driver
car,Ferrari,SF90,Stradale,2021,9.50,MotorTrend
car,Ferrari,F8,Tributo,2021,10.20,Car and Driver
